last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Murphy, John Ryan,571974,PIT,SL,Slider,-1.8,-1,83,33.9,19,0.222,0.222,0.226,62.8,52.6,30.3,0.208,0.231,0.221,12.5
Hamilton, Billy,571740,CHC,FF,4-Seamer,-1.2,-1,61,52.1,19,0.188,0.375,0.289,17.1,15.8,17.6,0.238,0.393,0.314,14.3
Wong, Kolten,543939,STL,CUKC,Curveball,-0.7,-1,116,13.7,19,0.222,0.278,0.245,38.9,36.8,24.1,0.126,0.159,0.154,9.1
Peralta, David,444482,ARI,CUKC,Curveball,1.9,1,75,9.1,19,0.211,0.368,0.245,38.7,42.1,28.6,0.186,0.225,0.181,18.2
Polanco, Jorge,593871,MIN,CUKC,Curveball,0.4,0,119,13.2,19,0.278,0.389,0.311,30,26.3,13.5,0.217,0.28,0.245,23.1
Aguilar, Jesús,542583,MIA,CUKC,Curveball,2.5,2,99,11.2,19,0.368,0.579,0.408,22.9,15.8,10,0.315,0.533,0.36,37.5
Schwarber, Kyle,656941,CHC,CH,Changeup,-3.2,-3,107,11.2,19,0.105,0.316,0.171,32,21.1,14.3,0.248,0.46,0.294,33.3
Vogt, Stephen,519390,ARI,SL,Slider,-5.5,-3,59,19.3,19,0.056,0.111,0.103,38.5,42.1,42.1,0.075,0.093,0.108,10
García, Avisaíl,541645,MIL,CUKC,Curveball,6.5,4,68,9.4,19,0.375,0.625,0.471,29,10.5,10,0.417,0.71,0.514,35.7
Maldonado, Martín,455117,HOU,CH,Changeup,-1.2,-1,78,11.2,19,0.133,0.2,0.261,41.2,31.6,23.1,0.225,0.274,0.321,33.3
Valaika, Pat,642162,BAL,FC,Cutter,2.5,1,54,9.5,19,0.421,0.737,0.495,20,15.8,30,0.311,0.603,0.38,25
McMahon, Ryan,641857,COL,CUKC,Curveball,-1.5,-1,79,9.4,19,0.063,0.125,0.176,55.3,63.2,32.4,0.069,0.089,0.169,25
